"site","zone","transect","plot","dist.on.transect","ID","treatment","herb.treat","tussock.treat","organic.depth","non.vascular","moss","lichen","mineral","organic","rock","shrub","excrement","forb","graminoid","vegetation..sum.of.shrub..gram..forb.","litter","other","total","nat.seedling.sp.y0","nat.seedling.count.y0","nat.seedling.sp.y1","nat.seedling.count.y1","nat.seedling.sp.y2","nat.seedling.count.y2","exp.seedling.sp","exp.seedling.count.y1","exp.seedling.count.y2","exp.seedling.count.y3","exp.seedling.dead","exp.seedling.missing","germ.y1","surv.yr1","germ.y2","surv.yr2","dead.yr2","surv.seedlings.yr2","tot.surv.yr2","germ.y3","surv.yr3","utm.zone","easting","northing","plot.photo","scar.photo","date.seeded","date.counted.yr1","date.counted.yr2","date.counted.yr3","comment","provenance","start.year","exp.duration","subplot","uniquePlot","seedT","scarT","seeds.per.plot"
"12 Mile","AT",3,"28",16.14,"","CN","nonex","",16,95,90,5,0,"5",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547248,7253481,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_3_28",0,0,769
"12 Mile","AT",3,"29",16.34,"","SC","nonex","",20,100,40,60,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547248,7253481,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_3_29",0,1,769
"12 Mile","AT",3,"30",16.68,"","SD","nonex","",50,60,60,0,0,"40",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547248,7253481,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_3_30",1,0,769
"12 Mile","AT",4,"31",17.54,"","SD","nonex","",15,100,5,95,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547258,7253441,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_4_31",1,0,769
"12 Mile","AT",4,"32",17.66,"","SC","nonex","",24,80,40,40,0,"20",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547258,7253441,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_4_32",0,1,769
"12 Mile","AT",4,"33",18.21,"","SS","nonex","",24,90,30,60,0,"10",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547258,7253441,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_4_33",1,1,769
"12 Mile","AT",4,"34",18.73,"","SS","nonex","",24,100,75,25,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547258,7253441,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_4_34",1,1,769
"12 Mile","AT",4,"35",19.52,"","SC","nonex","",20,100,60,40,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547258,7253441,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_4_35",0,1,769
"12 Mile","AT",4,"36",20.29,"","SC","nonex","",15,100,20,80,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547258,7253441,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_4_36",0,1,769
"12 Mile","AT",4,"37",21.16,"","CN","nonex","",13,95,0,95,0,"5",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547258,7253441,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_4_37",0,0,769
